ID,Alphabetical,Count: 12/30,40%,4,5,6,7,8,9,10,11,12,13,14,15
0000,,,0000,This,three-hex,COLD REGION is known for its,,villages.,Beware of,the weather, ,while you travel there. It is inhabited by,,and also,
0002,BAT - Arctic,ARCTIC BAT,0002,,four-hex,,snowy,caves.,,the low visibility,during blizzards,,0002,,0002.
0003,ELEMENTAL - Air,AIR ELEMENTAL,0003,,five-hex,,windy,horizon.,,strong winds,when the sky is clear,,0003,,0003.
0005,GRIFFON,GRIFFON,0005,,six-hex,,sunny,mesas.,,predators,if you are alone,,0005,,0005.
0006,OWLBEAR,OWLBEAR,0006,,seven-hex,,moonlit,pines.,,bird noises,that could mislead you,,0006,,0006.
0010,WIZARD,WIZARD,0010,,eight-hex,,mysterious,wizard tower.,,magical traps,that a local <a href='/monsters/wizard'>WIZARD</a> summoned,,0010,,0010.
0014,BOAR,BOAR,0014,,nine-hex,,fragrant,spruces.,,hunters,near the cabins,,0014,,0014.
0019,ELEMENTAL - Steam,STEAM ELEMENTAL,0019,,,,misty,hot springs.,,the fog,splitting the party,,0019,,0019.
0020,BIRD - Hawk,HAWK,0020,,,,vast,taiga.,,open spaces,exposing you to greater dangers,,0020,,0020.
0021,KNIGHT,KNIGHT,0021,,,,fortified,castle.,,the rdmNOBLE's men,in the rdmNOBLE's estate,,0021,,0021.
0025,CULTIST,CULTIST,0025,,,,mystical,monuments.,,pagan idols,that could curse you,,0025,,0025.
0027,CULTIST - Cannibal,CANNIBAL CULTIST,0027,,,,deceptive,cannibal village.,,the serial killer,near the cemetary,,0027,,0027.
0028,CULTIST - Pig,PIG CULTIST,0028,,,,dirty,pigsties.,,lurid bacchanalia,breeding sin,,0028,,0028.
