ID,Alphabetical,Count: 19/36,53%,4,5,6,7,8,9,10,11,12,13,14,15
0000,,,0000,This,three-hex,HIGHLAND is known for its,,villages.,Beware of,the weather, ,while you travel there. It is inhabited by,,and also,
0005,GRIFFON,GRIFFON,0005,,four-hex,,sun-kissed,mesas.,,predators,if you are alone,,0005,,0005.
0007,MEPHIT - Gravel,GRAVEL MEPHIT,0007,,five-hex,,pebble,pits.,,gravel,hiding pit traps,,0007,,0007.
0008,BIRD - Boltforager,BOLTFORAGER,0008,,six-hex,,orange,dust.,,bloated carcasses,carrying diseases,,0008,,0008.
0010,WIZARD,WIZARD,0010,,seven-hex,,mysterious,wizard tower.,,magical traps,that a local <a href='/monsters/wizard'>WIZARD</a> summoned,,0010,,0010.
0014,BOAR,BOAR,0014,,eight-hex,,fragrant,spruces.,,hunters,near the cabins,,0014,,0014.
0015,ELEMENTAL - Earth,EARTH ELEMENTAL,0015,,nine-hex,,rocky,fault line.,,tremors,moving rocks,,0015,,0015.
0016,BASILISK,BASILISK,0016,,,,petrified,termite mounds.,,geodesic fumes,turning people into stone,,0016,,0016.
0017,BAT,BAT,0017,,,,fly-infested,caves.,,the moonlight,especially at midnight,,0017,,0017.
0018,CAT - Giant Tressym,GIANT TRESSYM,0018,,,,arid,promontories.,,the sun,especially at noon,,0018,,0018.
0020,BIRD - Hawk,HAWK,0020,,,,vast,plateaus.,,open spaces,exposing you to greater dangers,,0020,,0020.
0021,KNIGHT,KNIGHT,0021,,,,legendary,castle.,,the rdmNOBLE's men,in the rdmNOBLE's estate,,0021,,0021.
0023,HARPY,HARPY,0023,,,,god-forsaken,ruined tower.,,sounds,driving you mad,,0023,,0023.
0024,BAT - Olitiau,OLITIAU BAT,0024,,,,deadly,ponds.,,gnarly trees,hiding monsters,,0024,,0024.
0025,CULTIST,CULTIST,0025,,,,mystical,monuments.,,pagan idols,that could curse you,,0025,,0025.
0027,CULTIST - Cannibal,CANNIBAL CULTIST,0027,,,,deceptive,cannibal village.,,the serial killer,near the cemetary,,0027,,0027.
0028,CULTIST - Pig,PIG CULTIST,0028,,,,dirty,pigsties.,,lurid bacchanalia,defacing the land,,0028,,0028.
0031,HAG - Night,NIGHT HAG,0031,,,,crooked,cottages.,,old women,near the a <a href='/monsters/hag-night'>WITCH</a>'s cottage,,0031,,0031.
0033,ZOMBIE,ZOMBIE,0033,,,,dismal,cemetary.,,dead bodies,carrying the <a href='/2024/01/01/ZombiePlague'>plague</a>,,0033,,0033.
0035,BOUNTY HUNTER,BOUNTY HUNTER,0035,,,,rowdy,roadside inn.,,crossroads,distracting you from greedy <a href='/monsters/bounty-hunter'>BOUNTY HUNTERS</a>,,0035,,0035.
