#,ALPHABETICAL,Count: 35,Trace 1,Trace 2,Tracks,Spoor,Omen,Encounter,,Arctic,Desert,Wood,Hills,Jungle,Mountain,Plains,Swamp,City,Sea,Cave,Astral,Chaos,Death,Law,Fey,Magic,Air,Earth,Fire,Water,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6,Link,room 1 generic,room 2 sleep,room 3 eat,room 4 work,room 5 trap,room 6 boss
0001,MEPHIT - Flame,FLAME MEPHIT,You notice an impetuous slogan burnt into the wall here.,You hear a small explosion far away and the faint chorus of hysterical laughter.,A trail of burnt objects and charred stones lead deeper into the dungeon.,Everything is burning in this room! You can still hear mischievous cackling just beyond.,A random piece of clothing spontaneously catches on fire and you can see a growing glow from around the corner.,1D8 FIRE MEPHITS.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,<a href='/monsters/mephit-fire'>FIRE MEPHITS</a> serving a lord from rdmFIRE,<a href='/monsters/mephit-fire'>FIRE MEPHITS</a> running an arena,<a href='/monsters/mephit-fire'>FIRE MEPHITS</a> starting wildfires,cowardly <a href='/monsters/mephit-fire'>FIRE MEPHITS</a>,a <a href='/monsters/mephit-fire'>FIRE MEPHIT</a> GANG,<a href='/monsters/mephit-fire'>FIRE MEPHITS</a> rumored to serve a <a href='/monsters/wizard'>WIZARD</a>,<a href='/monsters/mephit-fire'>FIRE MEPHITS</a>,,,,,,
0002,BAT - Arctic,ARCTIC BAT,You notice a single sleeping arctic bat on the ceiling.,You find the frozen body of an animal from the area covered in tiny bite marks.,You hear the distinctive screeches of bats from further inside the dungeon.,1D10 stranded arctic bats flutter around.,It suddenly starts snowing as a cacophony of bat screeches is getting closer.,2 ARCTIC BAT SWARMS.,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ravenous swarms of  <a href='/monsters/bat-arctic'>ARCTIC BATS</a> hiding in blizzards,<a href='/monsters/bat-arctic'>ARCTIC BATS</a> whose freezing venom is coveted by assassins,sacred <a href='/monsters/bat-arctic'>ARCTIC BATS</a>,swarms of <a href='/monsters/bat-arctic'>ARCTIC BATS</a> during winter,<a href='/monsters/bat-arctic'>ARCTIC BATS</a> whose fur is worth a lot in the South,<a href='/monsters/bat-arctic'>ARCTIC BATS</a> that can make unwary travelers die of hypothermia,<a href='/monsters/bat-arctic'>ARCTIC BATS</a>,,,,,,
0003,ELEMENTAL - Air,AIR ELEMENTAL,A brisk wind messes your hair.,The find the weather unnaturally windy.,A trail of randomly scattered things lead deeper into the dungeon.,This room is a huge mess as if a hurricane had been through. You can hear howling winds in the next room.,The overwhelming sound of howling winds envelop you and is only getting louder and louder.,1 Air Elemental,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,metal-hating <a href='/monsters/elemental-air'>AIR ELEMENTALS</a>,<a href='/monsters/elemental-air'>AIR ELEMENTALS</a> protecting the sky,<a href='/monsters/elemental-air'>AIR ELEMENTALS</a> fighting rain clouds,<a href='/monsters/elemental-air'>AIR ELEMENTALS</a> smothering all flames,<a href='/monsters/elemental-air'>AIR ELEMENTALS</a> slowly eroding the earth,<a href='/monsters/elemental-air'>AIR ELEMENTALS</a> longing to go return to rdmAIR,<a href='/monsters/elemental-air'>AIR ELEMENTALS</a>,,,,,,
0004,MEPHIT - Mud,MUD MEPHIT,You notice a pitiful plea written in mud on the wall here.,There is dried mud in incongruous places here.,Sinuous trails of mud lead deeper into the dungeon.,There is a giant pile of wet mud in the middle of this room. It is still fresh.,You hear wet footsteps getting closer.,1D8 Mud Mephits.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,pathetic <a href='/monsters/mephit-ooze'>MUD MEPHITS</a> serving a lord from rdmEARTH,<a href='/monsters/mephit-ooze'>MUD MEPHITS</a> running a bathhouse,<a href='/monsters/mephit-ooze'>MUD MEPHITS</a> defacing the landscape,meek <a href='/monsters/mephit-ooze'>MUD MEPHITS</a> serving a lord from rdmWATER,<a href='/monsters/mephit-ooze'>MUD MEPHIT GANGS</a>,<a href='/monsters/mephit-ooze'>MUD MEPHITS</a> rumored to serve a <a href='/monsters/wizard'>WIZARD</a>,<a href='/monsters/mephit-ooze'>MUD MEPHITS</a>,,,,,,
0005,GRIFFON,GRIFFON,Heraldic symbols on banners or stones depicting a griffon.,Dried bones with signs of shock damage.,Big quadrupedal birds circling above something further along the path.,A half-eaten carcass nudged somewhere inaccessible from the ground.,A piercing eagle cry from straight above you.,1D4 griffons,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,<a href='/monsters/griffon'>GRIFFONS</a> from the Royal Aviary,man-eating <a href='/monsters/griffon'>GRIFFONS</a>,<a href='/monsters/griffon'>GRIFFONS</a> patrolling the sky,migrating <a href='/monsters/griffon'>GRIFFONS</a> during the summer,golden <a href='/monsters/griffon'>GRIFFONS</a>,spotted <a href='/monsters/griffon'>GRIFFONS</a>,<a href='/monsters/griffon'>GRIFFONS</a>,,,,,,
0006,OWLBEAR,OWLBEAR,You notice large claw marks under the dirt on the floor.,You hear an owl hooting in the distance.,There are big muddy bear tracks leading further along the path.,The bloody bones of a bear are scattered around. It was eaten by something bigger.,You hear an owl's hoot. But it's way too close and way too loud.,1 Owlbear,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,big <a href='/monsters/owlbear'>OWLBEARS</a>,nocturnal <a href='/monsters/owlbear'>OWLBEARS</a>,a legendary <a href='/monsters/owlbear'>GIANT OWLBEAR</a>,agressive <a href='/monsters/owlbear'>OWLBEARS</a>,rare and lonely <a href='/monsters/owlbear'>OWLBEARS</a>,<a href='/monsters/owlbear'>OWLBEARS</a> that are sacred to the locals,<a href='/monsters/owlbear'>OWLBEARS</a>,,,,,,
0007,MEPHIT - Gravel,GRAVEL MEPHIT,"Somebody has written ""Do Not Touch"" with pebbles.",A piece of furniture is buried under a pile of earth.,A trail of pebbles lead deeper into the dungeon.,A fresh pile of earth blocks one of the exits of this room.,You can hear the noise of gravel being dumped in the next room.,1D8 gravel mephits,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,<a href='/monsters/mephit-earth'>GRAVEL MEPHITS</a> serving a lord from rdmEARTH,<a href='/monsters/mephit-earth'>GRAVEL MEPHITS</a> tending to an ancient monument,<a href='/monsters/mephit-earth'>GRAVEL MEPHITS</a> who want to bury the world,<a href='/monsters/mephit-earth'>GRAVEL MEPHIT</a> merchants who only buy and never sell,a <a href='/monsters/mephit-earth'>GRAVEL MEPHIT GANG</a>,<a href='/monsters/mephit-earth'>GRAVEL MEPHITS</a>  rumored to serve a <a href='/monsters/wizard'>WIZARD</a>,<a href='/monsters/mephit-earth'>GRAVEL MEPHITS</a>,,,,,,
0008,BIRD - Boltforager,BOLTFORAGER,A chorus of raspy bird noises overwhelms all other sounds as the sun sets or rises.,You notice the dead body of a local vermin is infested with orange worms.,You can hear scavenger birds bicker over a carcass further down the path.,You recoil as you discover the still-twitching body of an obviously sick animal.,You duck as a big orange bird swoops past you leaving a stinky trail of ochre dust behind.,2D6 big orange birds.,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/bird-boltforager'>ORANGE BIRDS</a> that carry deadly parasites,flocks of strange <a href='/monsters/bird-boltforager'>CARRION BIRDS</a> that come out at dawn,flocks of strange <a href='/monsters/bird-boltforager'>CARRION BIRDS</a> that come out at dusk,deadly <a href='/monsters/bird-boltforager'>CARRION BIRDS</a>,<a href='/monsters/bird-boltforager'>CARRION BIRDS</a> known as boltforagers,dangerous <a href='/monsters/bird-boltforager'>ORANGE BIRDS</a> that are sacred to the locals,<a href='/monsters/bird-boltforager'>BOLTFORAGER BIRDS</a>,,,,,,
0009,BAT - Kongamato,KONGAMATO,You notice the debris of a broken rotting boat.,Dark-red clusters of mushroom seem to grow from bat guano here. They are infected with Eye Rot disease.,The bitter smell of guano and wet dogs seems coming from deeper along the path.,A capsized rowboat floats to the surface of a nearby river.,You jump at the sudden song of something diving in the water nearby.,1 Kongamato Bat.,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/bat-kongamato'>GIANT RIVER BATS</a> that carry the Eye Rot disease,<a href='/monsters/bat-kongamato'>GIANT BATS</a> that harass fishermen in the river there,the mysterious <a href='/monsters/bat-kongamato'>KONGAMATO BATS</a>,semi-aquatic <a href='/monsters/bat-kongamato'>GIANT RIVER BATS</a>,deadly <a href='/monsters/bat-kongamato'>GIANT RIVER BATS</a>,terrifying <a href='/monsters/bat-kongamato'>KONGAMATO BATS</a> guarding the sacred river running through the land,<a href='/monsters/bat-kongamato'>KONGAMATO BATS</a>,,,,,,
0010,WIZARD,WIZARD,You notice a broken fragment of a crystal vial.,You find a loose page of what must have been a treatise on arcane magic. Half the text is unreadable.,There's energy in the air. You can feel magic has been cast here recently.,One of the creatures of this dungeon lies incapacitated by magic.,You hear a voice chanting the words of an arcane incantation nearby!,1 Wizard.,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,a <a href='/monsters/wizard'>WIZARD</a> looking for rare ingredients,a <a href='/monsters/wizard'>WIZARD</a> studying the monstrous ecosystem of the land,a <a href='/monsters/wizard'>WIZARD</a> that has moved here to avoid disturbances,a <a href='/monsters/wizard'>WIZARD</a> on an archeological expedition,<a href='/monsters/wizard'>WIZARDS</a> building a portal to rdmPLANE,a scheming <a href='/monsters/wizard'>WIZARD</a>,a <a href='/monsters/wizard'>WIZARD</a>,,,,,,
